customer_id,tenure_months,monthly_charges,support_tickets,satisfaction_score,region,plan_type,customer_lifetime_value
300001,12.1,85.22,2,10.0,South,Standard,7357.55
300002,42.1,131.15,6,6.3,South,Premium,8730.89
300003,9.0,103.51,1,6.4,East,Standard,6402.42
300004,38.0,137.42,2,1.9,East,Basic,6817.39
300005,18.3,62.02,2,7.9,West,Premium,4946.59
300006,32.7,78.84,2,7.1,East,Premium,6935.88
300007,4.1,97.97,3,6.8,South,Standard,5797.46
300008,34.1,105.82,1,4.1,North,Standard,6809.52
300009,10.7,85.2,3,9.9,West,Basic,5179.48
300010,20.8,107.21,5,9.0,East,Standard,7367.78
300011,17.0,107.03,2,6.8,South,Premium,8218.18
300012,10.7,54.69,3,8.1,South,Basic,3965.67
300013,10.3,106.08,6,6.4,East,Basic,5715.36
300014,28.4,113.76,6,7.8,North,Premium,8480.97
300015,18.3,95.11,7,3.9,East,Standard,4291.27
300016,8.9,43.84,3,2.2,South,Premium,3268.93
300017,14.4,81.36,2,4.0,South,Basic,5638.06
300018,8.4,98.51,1,4.8,South,Basic,4509.27
300019,28.0,67.22,3,5.1,South,Premium,5633.27
300020,14.0,110.04,5,7.1,West,Basic,7039.76
300021,17.5,105.51,7,5.8,South,Standard,5146.46
300022,8.3,91.23,5,6.2,North,Basic,5866.66
300023,16.2,88.42,2,4.2,North,Premium,5899.95
300024,21.5,92.63,4,4.0,North,Basic,5314.89
300025,6.7,87.9,3,6.4,South,Premium,6750.18
300026,61.8,57.15,3,5.3,North,Premium,7305.15
300027,17.9,77.68,0,6.3,South,Basic,5579.8
300028,1.4,89.74,3,7.3,East,Standard,6089.63
300029,15.0,122.05,6,9.3,West,Premium,7298.65
300030,13.1,104.61,4,6.3,South,Premium,8041.26
300031,6.7,123.34,5,9.6,West,Standard,7759.18
300032,14.6,54.28,7,7.0,West,Premium,4758.26
300033,45.5,79.45,4,7.5,East,Premium,7599.56
300034,8.2,137.77,3,8.2,East,Premium,9527.56
300035,4.4,70.17,6,7.6,South,Standard,4274.79
300036,37.7,69.69,2,4.9,North,Standard,6041.96
300037,19.4,81.48,5,8.2,West,Premium,7419.84
300038,24.4,136.43,4,5.6,West,Standard,6558.47
300039,29.9,71.88,3,6.8,South,Basic,5381.41
300040,9.2,101.38,2,6.5,South,Standard,6180.57
300041,23.4,97.41,5,8.4,North,Premium,7214.33
300042,2.7,41.72,4,7.0,South,Standard,2787.17
300043,15.1,87.62,4,3.8,West,Standard,5092.62
300044,7.3,74.73,3,10.0,North,Basic,6245.3
300045,17.6,104.27,4,7.8,East,Basic,5737.44
300046,19.7,129.74,4,5.3,West,Basic,5656.91
300047,17.6,79.73,6,4.3,South,Standard,5253.51
300048,11.8,79.73,2,8.0,East,Standard,6458.29
300049,38.2,148.43,1,4.5,South,Premium,8926.48
300050,16.2,70.92,3,7.7,North,Basic,6058.21
300051,24.1,55.77,2,8.2,South,Basic,5378.93
300052,20.5,121.06,1,5.1,North,Premium,9271.43
300053,3.9,86.78,5,5.0,East,Basic,4531.44
300054,13.7,94.8,4,5.5,South,Premium,5300.94
300055,17.3,141.56,6,4.5,West,Standard,6223.24
300056,8.9,54.33,0,6.7,South,Premium,5396.32
300057,5.8,83.31,3,7.0,West,Premium,6424.26
300058,32.7,58.33,7,7.6,East,Premium,5825.8
300059,5.6,96.04,2,4.8,East,Standard,4843.6
300060,28.4,74.73,0,7.8,South,Basic,6624.78
300061,2.7,59.85,1,4.5,South,Premium,5550.71
300062,25.1,105.57,3,7.8,East,Basic,6640.47
300063,8.5,88.25,5,3.6,East,Standard,4690.22
300064,17.4,57.96,3,9.1,East,Standard,5195.82
300065,3.4,59.43,6,5.4,North,Premium,4343.1
300066,52.7,92.99,1,7.4,North,Premium,8929.84
300067,7.0,47.9,2,7.5,North,Premium,6109.99
300068,17.4,93.46,2,4.0,North,Basic,5609.28
300069,24.5,120.15,2,7.8,East,Premium,8360.04
300070,36.5,104.01,3,5.3,South,Premium,7322.58
300071,11.1,73.04,2,5.7,South,Standard,3907.15
300072,24.2,94.58,5,5.1,North,Basic,6494.42
300073,3.8,57.96,4,9.2,East,Basic,3215.6
300074,15.5,91.27,1,4.2,North,Basic,5798.7
300075,10.0,80.16,4,7.1,South,Standard,5295.85
300076,23.2,63.06,2,5.2,West,Basic,4640.19
300077,10.0,102.97,1,8.3,East,Standard,7021.07
300078,19.9,40.54,3,10.0,North,Standard,5426.51
300079,38.3,59.54,1,5.2,North,Standard,6717.7
300080,6.1,62.43,6,6.6,South,Premium,3939.3
300081,17.7,75.88,4,5.6,East,Basic,4915.5
300082,4.1,119.18,3,8.2,South,Standard,6286.13
300083,26.8,106.1,4,5.9,South,Premium,6901.1
300084,5.9,90.53,3,7.9,South,Standard,5582.23
300085,13.4,89.4,2,5.6,South,Standard,5583.28
300086,38.5,87.72,6,10.0,East,Premium,8288.73
300087,5.1,120.92,6,2.4,West,Standard,4891.59
300088,18.9,44.42,5,7.0,South,Premium,5606.97
300089,12.5,106.52,4,6.3,North,Premium,7766.32
300090,8.9,75.8,2,6.2,North,Basic,5310.41
300091,28.1,100.07,2,6.8,North,Premium,8505.64
300092,32.3,100.19,4,6.4,South,Standard,7911.81
300093,6.4,105.6,5,6.7,North,Premium,5880.18
300094,11.1,126.01,3,7.0,West,Standard,7764.33
300095,22.1,55.1,5,9.4,West,Premium,7274.87
300096,31.4,112.13,4,1.3,East,Basic,5566.1
300097,9.7,86.47,7,9.6,South,Standard,6746.73
300098,19.1,76.94,0,10.0,East,Premium,9037.28
300099,15.9,136.81,4,3.1,South,Premium,6747.8
300100,21.3,104.85,5,6.4,East,Basic,5617.87
300101,4.0,77.99,4,8.8,North,Basic,5604.65
300102,20.8,110.98,5,8.0,West,Premium,7220.06
300103,6.1,86.89,2,9.3,South,Standard,7953.62
300104,6.2,77.61,3,7.0,South,Basic,5131.91
300105,5.4,73.45,3,2.6,South,Standard,3932.88
300106,17.5,95.31,8,8.6,South,Premium,5554.05
300107,22.0,73.27,0,7.4,West,Premium,7438.12
300108,17.3,91.73,3,8.9,East,Basic,5502.67
300109,6.5,109.29,2,3.5,West,Premium,6832.33
300110,39.2,90.65,1,4.1,West,Standard,5240.23
300111,10.3,135.44,3,6.3,South,Standard,7848.96
300112,11.4,88.32,6,8.7,West,Premium,6257.21
300113,15.9,120.38,3,9.2,West,Basic,6087.74
300114,20.7,111.43,4,5.0,North,Standard,6570.35
300115,4.6,124.61,4,5.6,South,Basic,5493.11
300116,10.5,135.33,3,10.0,South,Basic,7360.99
300117,15.4,45.73,2,5.3,East,Standard,5377.71
300118,3.9,94.36,4,7.5,East,Premium,6691.08
300119,21.9,85.32,5,5.5,South,Standard,5831.17
300120,7.4,90.67,3,7.2,West,Standard,5724.39
300121,13.2,78.46,2,4.7,East,Basic,5014.39
300122,34.7,74.96,5,4.8,South,Premium,5259.99
300123,13.9,61.61,3,5.6,East,Standard,5014.35
300124,3.6,90.34,3,5.3,West,Premium,5458.87
300125,32.1,110.42,5,5.8,South,Basic,6878.7
300126,22.1,76.15,4,7.2,South,Standard,5749.58
300127,28.6,80.12,2,9.7,East,Basic,7149.49
300128,15.5,71.25,4,5.2,South,Basic,4364.57
300129,15.4,64.14,3,4.5,South,Standard,5647.06
300130,59.1,82.33,7,6.3,West,Premium,6563.22
300131,22.2,96.24,5,4.8,South,Basic,4880.46
300132,31.7,118.18,2,3.4,South,Premium,6872.98
300133,84.0,59.39,1,8.2,West,Standard,7499.38
300134,57.9,87.27,5,6.4,East,Standard,6702.64
300135,5.9,116.28,3,6.6,South,Premium,7715.49
300136,7.2,59.71,4,2.8,South,Standard,3399.84
300137,4.9,118.41,4,5.2,South,Premium,6333.96
300138,15.3,77.47,3,3.8,North,Premium,6343.03
300139,66.5,105.07,5,6.3,West,Premium,8976.9
300140,1.0,82.77,4,6.5,North,Standard,5648.89
300141,10.2,99.01,2,6.5,North,Premium,7427.71
300142,15.5,126.62,2,5.1,East,Premium,8018.04
300143,6.6,85.09,1,4.8,West,Basic,4589.87
300144,12.8,111.92,5,6.0,East,Standard,6730.01
300145,13.5,94.59,3,6.9,South,Premium,5968.37
300146,4.4,69.14,3,5.3,South,Standard,4358.52
300147,28.0,84.51,4,4.6,West,Standard,6386.11
300148,13.0,83.01,7,4.7,East,Premium,5095.87
300149,6.1,54.12,3,5.1,West,Premium,4592.75
300150,15.7,99.02,8,5.5,South,Basic,5812.89
300151,27.4,103.79,5,4.3,East,Standard,6895.04
300152,14.6,107.5,7,5.5,West,Standard,5619.33
300153,6.7,122.31,5,8.5,South,Basic,5481.91
300154,17.9,110.89,2,5.8,South,Basic,4778.55
300155,55.3,73.53,3,4.1,North,Premium,7943.49
300156,9.8,78.64,2,2.2,East,Premium,5996.32
300157,7.6,108.13,2,9.6,South,Premium,8014.06
300158,11.1,97.35,2,8.4,South,Premium,6195.0
300159,8.1,87.57,1,6.8,East,Premium,6890.1
300160,8.4,67.01,4,8.4,East,Basic,4469.72
300161,5.5,75.26,4,7.2,South,Standard,5079.94
300162,31.6,101.99,6,6.2,West,Basic,7087.57
300163,25.7,41.18,3,4.1,North,Standard,5046.74
300164,12.2,31.84,2,9.7,South,Premium,5989.42
300165,9.5,104.64,5,5.5,East,Basic,5023.98
300166,20.8,75.2,2,5.6,East,Standard,6000.76
300167,17.7,99.24,3,6.4,East,Standard,5921.08
300168,17.2,125.84,3,6.4,East,Basic,6976.26
300169,38.3,63.69,6,7.3,West,Premium,6411.63
300170,22.6,47.93,4,7.1,West,Standard,4487.29
300171,84.0,81.37,3,5.3,West,Standard,8818.69
300172,10.3,71.56,2,6.3,West,Premium,4696.89
300173,56.8,87.39,4,7.3,South,Basic,6629.12
300174,21.8,100.91,1,5.1,East,Standard,7017.06
300175,6.4,95.84,2,8.9,South,Premium,7915.02
300176,8.8,89.11,2,6.3,East,Standard,6131.18
300177,24.6,113.4,2,9.2,North,Standard,7849.41
300178,5.1,104.1,1,3.8,South,Standard,5480.11
300179,14.6,83.65,7,7.5,West,Basic,4936.34
300180,70.7,103.25,3,4.7,East,Basic,8702.87
300181,1.0,50.91,6,5.2,North,Premium,4821.9
300182,14.5,113.53,3,7.9,South,Basic,6931.29
300183,8.8,88.53,4,5.9,South,Premium,5914.04
300184,58.2,59.18,4,10.0,West,Basic,6377.12
300185,13.7,78.0,1,7.2,North,Premium,6217.51
300186,7.6,112.9,6,5.0,East,Premium,5985.06
300187,5.1,69.58,2,7.2,East,Basic,5218.07
300188,5.8,97.85,1,5.9,South,Standard,5578.9
300189,52.6,109.09,4,7.8,South,Premium,9202.3
300190,1.5,88.59,3,5.8,West,Standard,4708.77
300191,22.4,67.25,5,7.0,West,Premium,5680.45
300192,40.8,86.47,6,6.7,South,Basic,6609.76
300193,14.4,54.17,3,6.4,South,Premium,5848.73
300194,5.9,76.27,3,8.2,East,Standard,5443.71
300195,22.3,61.43,3,3.1,South,Basic,3285.33
300196,7.2,86.87,4,6.5,South,Standard,5797.04
300197,9.4,57.54,3,5.0,South,Basic,4194.69
300198,8.0,90.0,3,3.9,South,Standard,5244.73
300199,8.3,115.19,2,4.8,West,Basic,5586.73
300200,30.3,116.7,3,5.2,West,Premium,7154.32
300201,13.1,58.11,1,5.9,East,Standard,5135.56
300202,23.3,72.01,4,6.9,North,Standard,6841.42
300203,23.3,108.47,4,7.3,South,Premium,6899.51
300204,15.3,104.9,5,5.6,South,Premium,6415.91
300205,42.5,73.24,2,9.2,East,Premium,9227.94
300206,6.7,76.32,4,5.6,South,Basic,3901.56
300207,14.0,89.97,5,2.8,West,Premium,5250.51
300208,2.5,44.0,5,5.7,South,Basic,1902.08
300209,16.1,100.61,2,6.4,North,Standard,7172.08
300210,29.0,113.99,5,1.0,South,Premium,5597.45
300211,4.4,78.66,2,8.5,South,Basic,4213.08
300212,9.7,53.94,0,6.1,South,Basic,3798.42
300213,8.1,121.9,9,4.2,South,Standard,4953.77
300214,1.0,93.27,1,4.6,South,Standard,4227.25
300215,5.9,105.02,5,7.7,South,Standard,4981.75
300216,24.6,56.29,5,7.9,South,Premium,6222.07
300217,14.8,56.38,0,5.1,West,Premium,5808.75
300218,19.4,97.94,5,3.9,West,Premium,5514.97
300219,29.1,112.66,5,6.5,South,Basic,6008.75
300220,49.5,60.9,4,6.9,South,Standard,7361.68
300221,5.8,85.56,7,7.3,West,Premium,6448.91
300222,22.6,49.91,3,5.3,West,Basic,4151.09
300223,9.3,71.16,5,6.1,West,Standard,5210.53
300224,6.3,81.83,7,6.3,South,Basic,3950.28
300225,12.1,99.73,2,8.0,West,Basic,5119.96
300226,23.4,37.46,3,8.7,East,Basic,3538.57
300227,15.9,119.69,2,9.2,North,Premium,8230.73
300228,10.9,83.91,5,8.6,North,Standard,5103.56
300229,25.2,119.07,8,9.6,West,Basic,6823.76
300230,23.8,104.77,3,8.1,West,Standard,6914.67
300231,10.3,108.46,3,5.2,South,Basic,5586.87
300232,22.5,136.49,4,9.1,East,Basic,7964.97
300233,15.5,69.24,4,3.8,South,Premium,5451.02
300234,8.2,91.25,2,10.0,East,Standard,6275.62
300235,23.7,64.22,5,4.5,South,Premium,5533.75
300236,24.3,85.55,0,7.9,South,Basic,5852.7
300237,5.4,105.28,4,8.9,South,Basic,6224.74
