customer_id,tenure_months,monthly_charges,support_tickets,region,contract_type,internet_service,churn
1,32.0,58.44,2,North,One year,Fiber,0
2,40.9,57.43,1,West,Month-to-month,DSL,0
3,28.8,55.39,4,East,One year,DSL,0
4,26.4,65.13,3,South,One year,Fiber,1
5,43.8,55.37,1,East,Two year,Fiber,0
6,27.8,38.68,0,North,Month-to-month,None,0
7,35.1,79.04,3,South,Month-to-month,Fiber,1
8,33.2,78.55,1,West,One year,Fiber,0
9,43.7,80.18,2,South,Month-to-month,Fiber,1
10,23.8,37.27,0,North,One year,Fiber,0
11,52.0,70.38,0,South,One year,DSL,0
12,20.3,77.17,2,South,Month-to-month,DSL,1
13,36.3,46.44,0,East,Month-to-month,DSL,0
14,34.0,65.17,1,West,One year,DSL,0
15,19.1,62.91,6,East,Two year,Fiber,1
16,38.0,98.16,0,East,One year,DSL,0
17,24.8,99.64,1,South,Month-to-month,Fiber,0
18,15.3,35.04,4,East,One year,Fiber,0
19,40.7,109.89,1,South,Month-to-month,DSL,0
20,11.7,48.53,4,North,One year,Fiber,1
21,17.2,82.65,2,West,One year,Fiber,1
22,28.6,82.47,1,South,Month-to-month,Fiber,0
23,43.6,47.08,0,South,One year,DSL,0
24,39.4,73.88,1,North,One year,Fiber,1
25,31.7,63.06,1,West,Month-to-month,DSL,1
26,9.2,74.98,1,North,One year,DSL,0
27,19.7,69.15,1,South,Two year,DSL,0
28,22.4,86.53,1,West,One year,Fiber,0
29,14.9,66.36,1,South,Month-to-month,DSL,1
30,7.5,61.98,3,West,One year,Fiber,1
31,29.4,84.73,2,North,Month-to-month,None,0
32,40.0,75.45,3,East,One year,DSL,0
33,21.4,78.17,1,West,One year,Fiber,0
34,43.3,53.04,1,East,Month-to-month,DSL,0
35,10.8,46.19,3,East,Month-to-month,DSL,1
36,14.3,54.78,1,South,Two year,Fiber,0
37,29.1,53.83,3,East,Month-to-month,Fiber,0
38,20.3,79.15,0,West,Two year,DSL,0
39,38.2,82.57,1,East,One year,DSL,0
40,34.8,62.21,1,West,One year,None,0
41,21.2,90.76,2,East,Month-to-month,Fiber,0
42,11.5,89.63,0,East,Month-to-month,DSL,1
43,19.7,69.38,0,South,Month-to-month,DSL,0
44,35.3,50.21,1,East,One year,DSL,0
45,39.1,93.36,0,West,Two year,DSL,0
46,20.3,63.9,1,East,Two year,Fiber,0
47,7.5,67.27,2,North,Month-to-month,DSL,1
48,10.4,58.89,0,East,Month-to-month,Fiber,0
49,33.7,48.98,1,East,Month-to-month,Fiber,0
50,21.0,38.56,3,West,Two year,DSL,0
51,21.3,76.39,3,North,Month-to-month,Fiber,1
52,14.1,50.9,1,North,Month-to-month,Fiber,0
53,14.0,120.07,0,South,One year,Fiber,0
54,42.9,45.45,3,North,One year,DSL,0
55,34.4,42.37,1,West,Month-to-month,None,0
56,18.1,74.18,2,South,One year,Fiber,1
57,27.9,92.53,5,East,Month-to-month,Fiber,1
58,30.6,66.16,0,North,Month-to-month,DSL,0
59,62.3,75.3,1,South,Month-to-month,Fiber,0
60,13.2,31.82,2,West,Month-to-month,None,1
61,30.4,52.8,2,South,Two year,DSL,0
62,42.8,45.67,0,North,One year,Fiber,0
63,58.4,30.89,0,North,One year,DSL,0
64,17.5,67.11,2,West,Month-to-month,Fiber,1
65,20.8,24.63,2,West,One year,DSL,0
66,38.4,41.2,0,North,Two year,Fiber,0
67,9.1,55.33,2,East,Month-to-month,DSL,1
68,32.1,50.04,3,North,Two year,DSL,1
69,72.0,72.14,2,East,One year,None,0
70,34.0,70.5,3,North,One year,None,0
71,4.8,81.09,1,West,Month-to-month,Fiber,1
72,15.5,78.54,3,West,One year,DSL,0
73,17.9,85.53,1,North,One year,DSL,0
74,48.1,64.97,3,South,Two year,Fiber,1
75,24.2,70.46,0,North,Two year,Fiber,0
76,7.6,74.21,2,South,Month-to-month,Fiber,1
77,25.8,67.55,0,North,Two year,Fiber,0
78,28.9,57.85,1,South,Two year,None,0
79,19.3,59.02,1,West,One year,Fiber,0
80,13.8,50.28,2,North,Month-to-month,DSL,1
81,72.0,72.59,1,West,Month-to-month,None,0
82,42.8,63.31,0,North,Month-to-month,Fiber,1
83,45.0,53.06,1,East,Month-to-month,DSL,0
84,24.2,53.08,2,South,Two year,Fiber,0
85,17.3,43.21,0,West,Month-to-month,Fiber,0
86,19.9,82.62,4,North,One year,Fiber,0
87,10.8,66.42,2,North,One year,Fiber,0
88,61.7,49.47,2,East,One year,Fiber,0
89,24.8,79.55,2,East,Month-to-month,Fiber,1
90,54.2,54.91,0,East,One year,Fiber,0
91,20.5,39.68,2,North,One year,Fiber,0
92,34.3,83.38,1,North,One year,DSL,0
93,29.8,55.33,0,West,Month-to-month,Fiber,1
94,10.0,57.64,2,East,One year,DSL,0
95,65.9,65.74,2,East,Month-to-month,None,0
96,20.9,85.57,2,South,One year,DSL,1
97,12.4,65.36,1,South,Month-to-month,DSL,0
98,38.6,43.42,1,West,Month-to-month,DSL,0
99,26.6,74.79,3,East,Two year,DSL,0
100,32.6,56.27,2,North,Month-to-month,None,0
101,28.2,98.98,2,West,Two year,None,0
102,5.2,64.98,2,East,Two year,Fiber,1
103,15.1,24.77,2,South,Month-to-month,DSL,0
104,14.7,71.43,1,South,Month-to-month,DSL,1
105,44.6,100.0,2,East,Month-to-month,Fiber,1
106,27.2,93.37,1,South,Two year,DSL,0
107,35.5,97.96,1,East,One year,DSL,0
108,21.7,46.64,6,East,Month-to-month,DSL,1
109,36.5,81.42,3,North,One year,Fiber,0
110,24.2,52.0,2,West,Month-to-month,Fiber,0
111,23.2,69.04,2,South,One year,Fiber,0
112,29.7,42.09,0,South,One year,DSL,0
113,28.2,53.4,1,East,Month-to-month,None,0
114,72.0,52.83,5,East,Two year,None,0
115,15.0,81.17,2,South,Month-to-month,Fiber,1
116,9.2,79.41,3,East,One year,Fiber,0
117,32.2,69.98,1,West,One year,DSL,0
118,16.4,40.69,1,West,Two year,DSL,0
119,4.7,59.39,2,West,One year,DSL,0
120,12.8,51.57,2,North,Two year,Fiber,0
121,72.0,80.65,1,South,Month-to-month,Fiber,0
122,14.8,86.21,2,East,Two year,DSL,0
123,7.0,84.01,1,North,Month-to-month,DSL,1
124,72.0,51.41,1,West,One year,Fiber,0
125,12.5,20.0,1,South,Month-to-month,None,0
126,72.0,33.19,1,South,Two year,DSL,0
127,21.1,90.59,2,North,Two year,None,1
128,66.0,57.78,1,South,Month-to-month,Fiber,0
129,22.9,51.49,0,South,One year,Fiber,1
130,34.4,94.57,1,East,One year,None,0
131,24.5,87.77,3,East,Month-to-month,None,1
132,23.0,65.44,1,North,One year,None,0
133,30.6,59.72,2,North,One year,DSL,0
134,35.1,62.62,0,West,One year,Fiber,1
135,29.3,69.09,3,North,Month-to-month,Fiber,1
136,27.5,93.8,1,East,Two year,Fiber,1
137,16.5,72.6,3,East,Month-to-month,None,0
138,25.1,78.07,3,East,One year,Fiber,0
139,61.5,86.05,2,West,Month-to-month,DSL,0
140,16.0,43.95,1,East,Month-to-month,None,0
141,31.2,78.59,2,West,Month-to-month,None,0
142,51.2,59.7,0,West,Month-to-month,None,1
143,35.3,20.0,0,North,One year,DSL,0
144,44.9,26.69,0,North,One year,DSL,0
145,12.3,46.67,2,South,One year,None,1
146,31.2,74.56,4,South,One year,Fiber,0
147,22.2,67.05,3,East,Month-to-month,Fiber,1
148,22.8,68.32,1,North,Month-to-month,None,0
149,58.6,100.12,3,North,One year,DSL,0
150,23.0,42.16,4,South,One year,DSL,1
151,31.8,64.51,1,East,One year,Fiber,1
152,7.0,70.48,0,East,Month-to-month,DSL,1
153,66.0,51.75,1,West,Two year,None,0
154,43.4,65.51,1,North,Month-to-month,DSL,0
155,25.7,36.2,2,South,One year,Fiber,0
156,21.6,90.38,3,West,Month-to-month,DSL,0
157,37.4,52.73,2,East,One year,None,0
158,50.9,101.57,0,East,Month-to-month,None,0
159,66.5,64.42,2,East,One year,Fiber,0
160,42.6,83.5,1,North,Month-to-month,DSL,0
161,27.8,64.04,2,West,One year,Fiber,0
162,46.3,64.45,2,East,Month-to-month,Fiber,0
163,41.6,54.49,2,East,One year,Fiber,0
164,27.8,67.14,3,East,Month-to-month,DSL,1
165,40.9,70.72,0,South,Month-to-month,DSL,0
166,40.5,50.88,1,North,One year,Fiber,0
167,25.6,62.75,1,East,Month-to-month,Fiber,0
168,19.1,54.02,1,South,Month-to-month,Fiber,1
169,38.5,106.39,0,North,Two year,Fiber,0
170,13.3,63.38,3,South,Two year,DSL,0
171,11.3,92.81,1,West,Two year,Fiber,0
172,32.1,61.48,1,South,Month-to-month,Fiber,0
173,37.9,69.67,4,South,One year,None,0
174,32.0,41.22,4,East,One year,Fiber,0
175,34.0,56.95,1,West,Month-to-month,None,0
176,37.5,68.79,2,East,One year,DSL,0
177,58.8,93.55,2,West,Month-to-month,DSL,0
178,43.0,69.0,0,North,Two year,DSL,0
179,42.3,89.91,1,West,One year,Fiber,0
180,30.7,76.53,0,West,One year,DSL,0
181,31.3,94.29,1,East,One year,DSL,0
182,24.3,63.94,1,East,Month-to-month,Fiber,0
